Longitude,Latitude,Location,Crime type,Has_Location,Year,Month,Week,Quarter,Neighbourhood
-6.226899,54.481896,rawdon court mews,Anti-social behaviour,True,2017,7,26,3,Lisburn
-5.93075,54.60014,berry street,Anti-social behaviour,True,2018,5,18,2,Lisburn Road
-5.5196,54.536561,ballywalter road,Anti-social behaviour,True,2015,11,44,4,Newtownards
-5.7599550000000015,54.398465,lislea drive,Anti-social behaviour,True,2016,7,26,3,Downpatrick
-6.657516,54.345911,,Anti-social behaviour,True,2017,6,22,2,Armagh
-5.884149,54.595425,moorgate street,Anti-social behaviour,True,2016,6,22,2,Strandtown
-5.7311830000000015,54.55595600000001,dermott drive,Anti-social behaviour,True,2018,3,9,1,Newtownards
-5.904061,54.585861,,Anti-social behaviour,True,2017,12,48,4,Strandtown
-5.905607,54.674148,,Anti-social behaviour,True,2017,7,26,3,Newtownabbey
-5.955547,54.595727,,Anti-social behaviour,True,2016,9,35,3,Woodbourne
