Year,More crime,A lot more crime,A little more crime,Same,Less crime,Unweighted base
1998,41,14,27,47,12,2648
2001,55,26,29,36,8,2597
2003/04,52,22,30,36,12,2644
2005,44.44444444,17.05931495,27.38512949,42.35588972,13.19966583,3076
2006/07,44.00776322,17.25699499,26.75076823,41.59792981,14.39430698,3171
 2007/08,38.83419284,14.01781528,24.81637756,44.80387561,16.36193155,3295
2008/09,35.95505618,13.51479665,22.44025953,47.91897452,16.1259693,3291
2009/10,34.75911752,12.11166141,22.6474561,48.89689329,16.34398919,3495
2010/11,34.61480927,10.86013463,23.75467465,49.12490651,16.26028422,3494
 2011/12,33.07612405,9.823415937,23.25270812,51.20937825,15.7144977,3497
 2012/13,30.62322523,9.789269168,20.83395606,52.71259901,16.66417576,3524
2013/14,27.34778122,8.204334365,19.14344685,55.41795666,17.23426213,3109
2014/15,28.17266187,8,20.17266187,55.88489209,15.94244604,1816
2015/16,28.69757174,8.136234626,20.56133712,56.76442763,14.53800063,1707
2016/17,28.5861359,8.407687028,20.17844887,56.4516129,14.9622512,1605
